   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     5.00      0.30    400.00      34.8    5116.1      70.8    5221.8
     5.00      0.40    400.00      49.9    6821.5      94.5    6965.8
     5.00      0.50    400.00      65.9    8526.9     118.1    8710.9
     5.00      0.60    400.00      82.8   10232.2     141.7   10456.7
     5.00      0.70    400.00     100.4   11937.6     165.3   12203.3
     5.00      0.80    400.00     118.6   13643.0     188.9   13950.6
     5.00      0.90    400.00     137.5   15348.4     212.5   15698.4
     5.00      1.00    400.00     156.8   17053.7     236.1   17446.7
     5.00      1.10    400.00     176.7   18759.1     259.8   19195.5
     5.00      0.20    500.00      26.2    3410.7      47.2    3484.2
     5.00      0.30    500.00      43.5    5116.1      70.8    5230.5
     5.00      0.40    500.00      62.4    6821.5      94.5    6978.3
     5.00      0.50    500.00      82.4    8526.9     118.1    8727.4
     5.00      0.60    500.00     103.5   10232.2     141.7   10477.5
     5.00      0.70    500.00     125.5   11937.6     165.3   12228.4
     5.00      0.80    500.00     148.3   13643.0     188.9   13980.2
     5.00      0.90    500.00     171.8   15348.4     212.5   15732.7
     5.00      1.00    500.00     196.0   17053.7     236.1   17485.9
     5.00      1.10    500.00     220.8   18759.1     259.8   19239.7
     5.00      0.20    600.00      31.5    3410.7      47.2    3489.4
     5.00      0.30    600.00      52.2    5116.1      70.8    5239.2
     5.00      0.40    600.00      74.8    6821.5      94.5    6990.8
     5.00      0.50    600.00      98.9    8526.9     118.1    8743.8
     5.00      0.60    600.00     124.2   10232.2     141.7   10498.2
     5.00      0.70    600.00     150.6   11937.6     165.3   12253.5
     5.00      0.80    600.00     178.0   13643.0     188.9   14009.9
     5.00      0.90    600.00     206.2   15348.4     212.5   15767.1
     5.00      1.00    600.00     235.2   17053.7     236.1   17525.1
     5.00      1.10    600.00     265.0   18759.1     259.8   19283.9
     5.00      0.20    700.00      36.7    3410.7      47.2    3494.7
     5.00      0.30    700.00      60.9    5116.1      70.8    5247.9
     5.00      0.40    700.00      87.3    6821.5      94.5    7003.3
     5.00      0.50    700.00     115.4    8526.9     118.1    8760.3
     5.00      0.60    700.00     144.9   10232.2     141.7   10518.9
     5.00      0.70    700.00     175.7   11937.6     165.3   12278.6
     5.00      0.80    700.00     207.6   13643.0     188.9   14039.5
     5.00      0.90    700.00     240.6   15348.4     212.5   15801.5
     5.00      1.00    700.00     274.4   17053.7     236.1   17564.3
     5.00      1.10    700.00     309.2   18759.1     259.8   19328.0
     5.00      0.20    800.00      41.9    3410.7      47.2    3499.9
     5.00      0.30    800.00      69.6    5116.1      70.8    5256.6
     5.00      0.40    800.00      99.8    6821.5      94.5    7015.7
     5.00      0.50    800.00     131.9    8526.9     118.1    8776.8
     5.00      0.60    800.00     165.6   10232.2     141.7   10539.6
     5.00      0.70    800.00     200.8   11937.6     165.3   12303.7
     5.00      0.80    800.00     237.3   13643.0     188.9   14069.2
     5.00      0.90    800.00     274.9   15348.4     212.5   15835.8
     5.00      1.00    800.00     313.6   17053.7     236.1   17603.5
     5.00      1.10    800.00     353.3   18759.1     259.8   19372.2
