   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     1.00      0.20    400.00      21.0     682.1      37.2     740.3
     1.00      0.30    400.00      34.8    1023.2      55.8    1113.9
     1.00      0.40    400.00      49.9    1364.3      74.4    1488.6
     1.00      0.50    400.00      65.9    1705.4      93.1    1864.4
     1.00      0.60    400.00      82.8    2046.4     111.7    2240.9
     1.00      0.70    400.00     100.4    2387.5     130.3    2618.2
     1.00      0.80    400.00     118.6    2728.6     148.9    2996.1
     1.00      0.90    400.00     137.5    3069.7     167.5    3374.6
     1.00      1.00    400.00     156.8    3410.7     186.1    3753.7
     1.00      1.10    400.00     176.7    3751.8     204.7    4133.2
     1.00      0.20    500.00      26.2     682.1      37.2     745.6
     1.00      0.30    500.00      43.5    1023.2      55.8    1122.6
     1.00      0.40    500.00      62.4    1364.3      74.4    1501.1
     1.00      0.50    500.00      82.4    1705.4      93.1    1880.8
     1.00      0.60    500.00     103.5    2046.4     111.7    2261.6
     1.00      0.70    500.00     125.5    2387.5     130.3    2643.3
     1.00      0.80    500.00     148.3    2728.6     148.9    3025.8
     1.00      0.90    500.00     171.8    3069.7     167.5    3409.0
     1.00      1.00    500.00     196.0    3410.7     186.1    3792.9
     1.00      1.10    500.00     220.8    3751.8     204.7    4177.4
     1.00      0.20    600.00      31.5     682.1      37.2     750.8
     1.00      0.30    600.00      52.2    1023.2      55.8    1131.3
     1.00      0.40    600.00      74.8    1364.3      74.4    1513.6
     1.00      0.50    600.00      98.9    1705.4      93.1    1897.3
     1.00      0.60    600.00     124.2    2046.4     111.7    2282.3
     1.00      0.70    600.00     150.6    2387.5     130.3    2668.4
     1.00      0.80    600.00     178.0    2728.6     148.9    3055.5
     1.00      0.90    600.00     206.2    3069.7     167.5    3443.4
     1.00      1.00    600.00     235.2    3410.7     186.1    3832.1
     1.00      1.10    600.00     265.0    3751.8     204.7    4221.5
     1.00      0.20    700.00      36.7     682.1      37.2     756.1
     1.00      0.30    700.00      60.9    1023.2      55.8    1140.0
     1.00      0.40    700.00      87.3    1364.3      74.4    1526.0
