   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     1.00      0.50    700.00     115.4    1705.4      93.1    1913.8
     1.00      0.60    700.00     144.9    2046.4     111.7    2303.0
     1.00      0.70    700.00     175.7    2387.5     130.3    2693.5
     1.00      0.80    700.00     207.6    2728.6     148.9    3085.1
     1.00      0.90    700.00     240.6    3069.7     167.5    3477.7
     1.00      1.00    700.00     274.4    3410.7     186.1    3871.3
     1.00      1.10    700.00     309.2    3751.8     204.7    4265.7
     1.00      0.20    800.00      41.9     682.1      37.2     761.3
     1.00      0.30    800.00      69.6    1023.2      55.8    1148.7
     1.00      0.40    800.00      99.8    1364.3      74.4    1538.5
     1.00      0.50    800.00     131.9    1705.4      93.1    1930.3
     1.00      0.60    800.00     165.6    2046.4     111.7    2323.7
     1.00      0.70    800.00     200.8    2387.5     130.3    2718.6
     1.00      0.80    800.00     237.3    2728.6     148.9    3114.8
     1.00      0.90    800.00     274.9    3069.7     167.5    3512.1
     1.00      1.00    800.00     313.6    3410.7     186.1    3910.5
     1.00      1.10    800.00     353.3    3751.8     204.7    4309.9
     3.00      0.20    400.00      21.0    2046.4      37.2    2104.6
     3.00      0.30    400.00      34.8    3069.7      55.8    3160.3
     3.00      0.40    400.00      49.9    4092.9      74.4    4217.2
     3.00      0.50    400.00      65.9    5116.1      93.1    5275.1
     3.00      0.60    400.00      82.8    6139.3     111.7    6333.8
     3.00      0.70    400.00     100.4    7162.6     130.3    7393.3
     3.00      0.80    400.00     118.6    8185.8     148.9    8453.3
     3.00      0.90    400.00     137.5    9209.0     167.5    9514.0
     3.00      1.00    400.00     156.8   10232.2     186.1   10575.2
     3.00      1.10    400.00     176.7   11255.5     204.7   11636.9
     3.00      0.20    500.00      26.2    2046.4      37.2    2109.9
     3.00      0.30    500.00      43.5    3069.7      55.8    3169.0
     3.00      0.40    500.00      62.4    4092.9      74.4    4229.7
     3.00      0.50    500.00      82.4    5116.1      93.1    5291.6
     3.00      0.60    500.00     103.5    6139.3     111.7    6354.5
     3.00      0.70    500.00     125.5    7162.6     130.3    7418.4
     3.00      0.80    500.00     148.3    8185.8     148.9    8483.0
     3.00      0.90    500.00     171.8    9209.0     167.5    9548.4
     3.00      1.00    500.00     196.0   10232.2     186.1   10614.4
     3.00      1.10    500.00     220.8   11255.5     204.7   11681.0
     3.00      0.20    600.00      31.5    2046.4      37.2    2115.1
     3.00      0.30    600.00      52.2    3069.7      55.8    3177.7
     3.00      0.40    600.00      74.8    4092.9      74.4    4242.2
     3.00      0.50    600.00      98.9    5116.1      93.1    5308.1
     3.00      0.60    600.00     124.2    6139.3     111.7    6375.2
     3.00      0.70    600.00     150.6    7162.6     130.3    7443.5
     3.00      0.80    600.00     178.0    8185.8     148.9    8512.7
     3.00      0.90    600.00     206.2    9209.0     167.5    9582.7
     3.00      1.00    600.00     235.2   10232.2     186.1   10653.6
     3.00      1.10    600.00     265.0   11255.5     204.7   11725.2
     3.00      0.20    700.00      36.7    2046.4      37.2    2120.4
     3.00      0.30    700.00      60.9    3069.7      55.8    3186.4
     3.00      0.40    700.00      87.3    4092.9      74.4    4254.6
     3.00      0.50    700.00     115.4    5116.1      93.1    5324.6
     3.00      0.60    700.00     144.9    6139.3     111.7    6395.9
     3.00      0.70    700.00     175.7    7162.6     130.3    7468.6
     3.00      0.80    700.00     207.6    8185.8     148.9    8542.3
     3.00      0.90    700.00     240.6    9209.0     167.5    9617.1
     3.00      1.00    700.00     274.4   10232.2     186.1   10692.8
     3.00      1.10    700.00     309.2   11255.5     204.7   11769.4
     3.00      0.20    800.00      41.9    2046.4      37.2    2125.6
     3.00      0.30    800.00      69.6    3069.7      55.8    3195.1
     3.00      0.40    800.00      99.8    4092.9      74.4    4267.1
     3.00      0.50    800.00     131.9    5116.1      93.1    5341.1
     3.00      0.60    800.00     165.6    6139.3     111.7    6416.6
     3.00      0.70    800.00     200.8    7162.6     130.3    7493.7
     3.00      0.80    800.00     237.3    8185.8     148.9    8572.0
     3.00      0.90    800.00     274.9    9209.0     167.5    9651.5
     3.00      1.00    800.00     313.6   10232.2     186.1   10732.0
     3.00      1.10    800.00     353.3   11255.5     204.7   11813.5
     5.00      0.20    400.00      21.0    3410.7      37.2    3468.9
     5.00      0.30    400.00      34.8    5116.1      55.8    5206.8
     5.00      0.40    400.00      49.9    6821.5      74.4    6945.8
     5.00      0.50    400.00      65.9    8526.9      93.1    8685.9
     5.00      0.60    400.00      82.8   10232.2     111.7   10426.7
     5.00      0.70    400.00     100.4   11937.6     130.3   12168.3
     5.00      0.80    400.00     118.6   13643.0     148.9   13910.5
     5.00      0.90    400.00     137.5   15348.4     167.5   15653.3
     5.00      1.00    400.00     156.8   17053.7     186.1   17396.7
     5.00      1.10    400.00     176.7   18759.1     204.7   19140.5
     5.00      0.20    500.00      26.2    3410.7      37.2    3474.2
     5.00      0.30    500.00      43.5    5116.1      55.8    5215.5
     5.00      0.40    500.00      62.4    6821.5      74.4    6958.3
     5.00      0.50    500.00      82.4    8526.9      93.1    8702.3
     5.00      0.60    500.00     103.5   10232.2     111.7   10447.4
     5.00      0.70    500.00     125.5   11937.6     130.3   12193.4
     5.00      0.80    500.00     148.3   13643.0     148.9   13940.2
     5.00      0.90    500.00     171.8   15348.4     167.5   15687.7
     5.00      1.00    500.00     196.0   17053.7     186.1   17435.9
     5.00      1.10    500.00     220.8   18759.1     204.7   19184.7
     5.00      0.20    600.00      31.5    3410.7      37.2    3479.4
     5.00      0.30    600.00      52.2    5116.1      55.8    5224.2
     5.00      0.40    600.00      74.8    6821.5      74.4    6970.8
     5.00      0.50    600.00      98.9    8526.9      93.1    8718.8
     5.00      0.60    600.00     124.2   10232.2     111.7   10468.1
     5.00      0.70    600.00     150.6   11937.6     130.3   12218.5
     5.00      0.80    600.00     178.0   13643.0     148.9   13969.9
     5.00      0.90    600.00     206.2   15348.4     167.5   15722.1
     5.00      1.00    600.00     235.2   17053.7     186.1   17475.1
     5.00      1.10    600.00     265.0   18759.1     204.7   19228.8
     5.00      0.20    700.00      36.7    3410.7      37.2    3484.7
     5.00      0.30    700.00      60.9    5116.1      55.8    5232.9
     5.00      0.40    700.00      87.3    6821.5      74.4    6983.2
     5.00      0.50    700.00     115.4    8526.9      93.1    8735.3
     5.00      0.60    700.00     144.9   10232.2     111.7   10488.8
     5.00      0.70    700.00     175.7   11937.6     130.3   12243.6
     5.00      0.80    700.00     207.6   13643.0     148.9   13999.5
     5.00      0.90    700.00     240.6   15348.4     167.5   15756.4
     5.00      1.00    700.00     274.4   17053.7     186.1   17514.3
     5.00      1.10    700.00     309.2   18759.1     204.7   19273.0
     5.00      0.20    800.00      41.9    3410.7      37.2    3489.9
     5.00      0.30    800.00      69.6    5116.1      55.8    5241.6
     5.00      0.40    800.00      99.8    6821.5      74.4    6995.7
     5.00      0.50    800.00     131.9    8526.9      93.1    8751.8
     5.00      0.60    800.00     165.6   10232.2     111.7   10509.5
     5.00      0.70    800.00     200.8   11937.6     130.3   12268.7
     5.00      0.80    800.00     237.3   13643.0     148.9   14029.2
     5.00      0.90    800.00     274.9   15348.4     167.5   15790.8
     5.00      1.00    800.00     313.6   17053.7     186.1   17553.5
     5.00      1.10    800.00     353.3   18759.1     204.7   19317.2
