   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     5.00      1.00    400.00     246.0     255.4     188.0     689.4
     5.00      1.10    400.00     277.1     281.0     206.8     764.9
     5.00      0.20    500.00      41.1      51.1      37.6     129.8
     5.00      0.30    500.00      68.3      76.6      56.4     201.3
     5.00      0.40    500.00      97.8     102.2      75.2     275.2
     5.00      0.50    500.00     129.3     127.7      94.0     351.0
     5.00      0.60    500.00     162.4     153.3     112.8     428.4
     5.00      0.70    500.00     196.9     178.8     131.6     507.3
     5.00      0.80    500.00     232.6     204.3     150.4     587.4
     5.00      0.90    500.00     269.5     229.9     169.2     668.6
     5.00      1.00    500.00     307.5     255.4     188.0     750.9
     5.00      1.10    500.00     346.4     281.0     206.8     834.1
     5.00      0.20    600.00      49.3      51.1      37.6     138.0
     5.00      0.30    600.00      81.9      76.6      56.4     214.9
     5.00      0.40    600.00     117.4     102.2      75.2     294.7
     5.00      0.50    600.00     155.1     127.7      94.0     376.8
     5.00      0.60    600.00     194.8     153.3     112.8     460.9
     5.00      0.70    600.00     236.2     178.8     131.6     546.6
     5.00      0.80    600.00     279.2     204.3     150.4     633.9
     5.00      0.90    600.00     323.4     229.9     169.2     722.5
     5.00      1.00    600.00     369.0     255.4     188.0     812.4
     5.00      1.10    600.00     415.6     281.0     206.8     903.4
     5.00      0.20    700.00      57.6      51.1      37.6     146.3
     5.00      0.30    700.00      95.6      76.6      56.4     228.6
     5.00      0.40    700.00     136.9     102.2      75.2     314.3
     5.00      0.50    700.00     181.0     127.7      94.0     402.7
     5.00      0.60    700.00     227.3     153.3     112.8     493.4
     5.00      0.70    700.00     275.6     178.8     131.6     586.0
     5.00      0.80    700.00     325.7     204.3     150.4     680.4
     5.00      0.90    700.00     377.3     229.9     169.2     776.4
     5.00      1.00    700.00     430.5     255.4     188.0     873.9
     5.00      1.10    700.00     484.9     281.0     206.8     972.7
     5.00      0.20    800.00      65.8      51.1      37.6     154.5
     5.00      0.30    800.00     109.2      76.6      56.4     242.3
     5.00      0.40    800.00     156.5     102.2      75.2     333.9
     5.00      0.50    800.00     206.8     127.7      94.0     428.6
     5.00      0.60    800.00     259.8     153.3     112.8     525.8
     5.00      0.70    800.00     315.0     178.8     131.6     625.4
     5.00      0.80    800.00     372.2     204.3     150.4     726.9
     5.00      0.90    800.00     431.2     229.9     169.2     830.3
     5.00      1.00    800.00     491.9     255.4     188.0     935.4
     5.00      1.10    800.00     554.2     281.0     206.8    1042.0
