     SPEED            =  1.000  Knots 
     BREADTH          =   19.000
     FRICTIONAL COEFF.=    0.500E-01
THE NUMBER OF FRAMES =  161
     X_COOR(I)        Y(I)    Z_COOR(I)    X_NORM(I)    Y_NORM(I)    Z_NORM(I)     ALPHA(I)      BETA(I)     GAMMA(I)
       5.8260       4.7140       4.0280       3.5340       3.1690       2.8750       2.6320       2.4200       2.2370       2.0820       1.9350       1.7900       1.6450       1.4930       1.3340       1.1460       0.8820       0.0000
      16.5300      29.6070      40.5710      50.8600      55.7940      61.7000      64.7870      67.3930      72.3360      73.5070      73.8000      73.8510      73.1570      72.8250      72.2360      65.8110      50.3790      90.0000
      20.0000       0.0000
       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       5.3360       4.6870       4.2060       3.8460       3.5630       3.3370       3.1420       2.9690       2.8150       2.6670       2.5250       2.3840       2.2380       2.0820       1.8980       1.6250       0.0000
      31.5910      42.3260      48.7610      58.5770      61.7660      67.7020      68.7970      72.9690      72.8570      74.2900      74.1500      73.6400      73.2130      70.3260      65.7650      58.3980      90.0000
      15.0000       0.0000
       8.5000       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       5.9370       5.3250       4.8690       4.5240       4.2430       4.0030       3.7980       3.6150       3.4550       3.3080       3.1770       3.0560       2.9490       2.8280       2.6660       2.3790       0.0000
      36.3910      43.8020      51.6410      57.0870      60.9500      65.6690      68.8420      70.9860      72.7050      74.9950      76.1130      77.0990      77.5750      75.4120      69.3200      56.2120      90.0000
      10.0000       0.0000
       8.0000       7.5000       7.0000       6.5000       6.0000       5.5000       5.0000       4.5000       4.0000       3.5000       3.0000       2.5000       2.0000       1.5000       1.0000       0.5000
       5.8720       5.4530       5.1180       4.8520       4.6290       4.4410       4.2810       4.1460       4.0180       3.9030       3.7920       3.6810       3.5840       3.4630       3.2940       2.9130
      46.5280      54.0870      60.6000      63.9600      68.8260      71.6490      72.9970      74.5520      76.5410      78.0280      76.6330      77.7050      77.6170      75.6750      67.3950      31.0760
