     SPEED            =  1.000  Knots 
     BREADTH          =   19.000
     FRICTIONAL COEFF.=    0.500E-01
THE NUMBER OF FRAMES =  161
     X_COOR(I)        Y(I)    Z_COOR(I)    X_NORM(I)    Y_NORM(I)    Z_NORM(I)     ALPHA(I)      BETA(I)     GAMMA(I)
      58.0000       9.2150       6.0000      -0.0010       0.9930      -0.1160       0.0510       6.6330      89.5600
      57.5000       9.2140       6.0000      -0.0010       0.9930      -0.1160       0.0510       6.6330      89.5600
      57.0000       9.2140       6.0000      -0.0010       0.9930      -0.1160       0.0510       6.6330      89.5600
      56.5000       9.2130       6.0000      -0.0010       0.9930      -0.1160       0.0510       6.6330      89.5600
      56.0000       9.2130       6.0000      -0.0010       0.9930      -0.1160       0.0510       6.6330      89.5600
      55.5000       9.2130       6.0000      -0.0010       0.9930      -0.1160       0.0510       6.6330      89.5600
      55.0000       9.2120       6.0000       0.0000       0.9930      -0.1150       0.0150       6.6260      89.8690
      54.5000       9.2120       6.0000       0.0000       0.9930      -0.1150       0.0150       6.6260      89.8690
      54.0000       9.2120       6.0000       0.0000       0.9930      -0.1150       0.0150       6.6260      89.8690
      53.5000       9.2120       6.0000      -0.0010       0.9930      -0.1150       0.0690       6.5820      89.4050
      53.0000       9.2110       6.0000      -0.0010       0.9930      -0.1150       0.0690       6.5820      89.4050
      52.5000       9.2110       6.0000      -0.0010       0.9930      -0.1150       0.0690       6.5820      89.4050
      52.0000       9.2100       6.0000      -0.0010       0.9930      -0.1150       0.0690       6.5820      89.4050
      51.5000       9.2100       6.0000       0.0010       0.9940      -0.1140       0.0530       6.5340      89.5410
      51.0000       9.2100       6.0000       0.0010       0.9940      -0.1140       0.0530       6.5340      89.5410
      50.5000       9.2110       6.0000       0.0010       0.9940      -0.1140       0.0530       6.5340      89.5410
      50.0000       9.2100       6.0000      -0.0010       0.9930      -0.1160       0.0470       6.6580      89.5990
      49.5000       9.2100       6.0000      -0.0010       0.9930      -0.1160       0.0470       6.6580      89.5990
      49.0000       9.2100       6.0000       0.0000       0.9930      -0.1170       0.0170       6.6960      89.8580
      48.5000       9.2100       6.0000       0.0000       0.9930      -0.1170       0.0170       6.6960      89.8580
      48.0000       9.2100       6.0000       0.0000       0.9930      -0.1170       0.0170       6.6960      89.8580
      47.5000       9.2090       6.0000       0.0000       0.9930      -0.1170       0.0210       6.6960      89.8200
      47.0000       9.2100       6.0000       0.0000       0.9930      -0.1170       0.0210       6.6960      89.8200
      46.5000       9.2100       6.0000       0.0000       0.9930      -0.1170       0.0210       6.6960      89.8200
      46.0000       9.2100       6.0000       0.0000       0.9930      -0.1170       0.0210       6.6960      89.8200
      45.5000       9.2100       6.0000       0.0000       0.9930      -0.1170       0.0210       6.6960      89.8200
      45.0000       9.2110       6.0000       0.0010       0.9930      -0.1150       0.0770       6.6140      89.3340
      44.5000       9.2110       6.0000       0.0010       0.9930      -0.1150       0.0600       6.5890      89.4800
      44.0000       9.2120       6.0000       0.0010       0.9930      -0.1150       0.0600       6.5890      89.4800
      43.5000       9.2120       6.0000       0.0010       0.9930      -0.1150       0.0600       6.5890      89.4800
      43.0000       9.2130       6.0000       0.0010       0.9930      -0.1150       0.0600       6.5890      89.4800
      42.5000       9.2130       6.0000      -0.0050       0.9930      -0.1160       0.2790       6.6330      87.6000
      42.0000       9.2110       6.0000      -0.0020       0.9930      -0.1150       0.1300       6.5890      88.8780
      41.5000       9.2100       6.0000      -0.0020       0.9930      -0.1150       0.1300       6.5890      88.8780
      41.0000       9.2090       6.0000       0.0000       0.9940      -0.1140       0.0260       6.5270      89.7700
      40.5000       9.2090       6.0000       0.0000       0.9940      -0.1130       0.0200       6.4980      89.8210
      40.0000       9.2100       6.0000       0.0000       0.9940      -0.1130       0.0200       6.4980      89.8210
      39.5000       9.2100       6.0000       0.0010       0.9940      -0.1130       0.0460       6.4980      89.5950
      39.0000       9.2100       6.0000       0.0010       0.9940      -0.1130       0.0550       6.5160      89.5160
      38.5000       9.2110       6.0000       0.0010       0.9940      -0.1130       0.0550       6.5160      89.5160
      38.0000       9.2110       6.0000       0.0000       0.9930      -0.1160       0.0200       6.6890      89.8340
      37.5000       9.2100       6.0000       0.0010       0.9930      -0.1160       0.0470       6.6780      89.5960
      37.0000       9.2110       6.0000       0.0010       0.9930      -0.1160       0.0470       6.6780      89.5960
      36.5000       9.2110       6.0000       0.0010       0.9930      -0.1160       0.0470       6.6780      89.5960
      36.0000       9.2120       6.0000       0.0010       0.9930      -0.1160       0.0470       6.6780      89.5960
      35.5000       9.2120       6.0000       0.0010       0.9930      -0.1160       0.0470       6.6780      89.5960
      35.0000       9.2110       6.0000       0.0000       0.9910      -0.1350       0.0190       7.7810      89.8620
      34.5000       9.2110       6.0000       0.0000       0.9910      -0.1350       0.0190       7.7810      89.8620
      34.0000       9.2090       6.0000      -0.0010       0.9880      -0.1570       0.0460       9.0170      89.7130
      33.5000       9.2080       6.0000      -0.0010       0.9870      -0.1610       0.0510       9.2900      89.6900
      33.0000       9.2060       6.0000      -0.0050       0.9870      -0.1590       0.2670       9.1370      88.3410
      32.5000       9.2040       6.0000      -0.0050       0.9870      -0.1590       0.2670       9.1370      88.3410
      32.0000       9.1990       6.0000      -0.0060       0.9820      -0.1880       0.3730      10.8290      88.0500
      31.5000       9.1930       6.0000      -0.0150       0.9810      -0.1940       0.9010      11.1960      85.4550
      31.0000       9.1850       6.0000      -0.0150       0.9810      -0.1940       0.9010      11.1960      85.4550
      30.5000       9.1770       6.0000      -0.0180       0.9810      -0.1940       1.0610      11.1840      84.6460
      30.0000       9.1680       6.0000      -0.0180       0.9810      -0.1940       1.0480      11.2020      84.7240
      29.5000       9.1580       6.0000      -0.0170       0.9810      -0.1950       0.9960      11.2390      85.0000
      29.0000       9.1550       6.0000      -0.0010       0.9800      -0.1970       0.0370      11.3590      89.8130
      28.5000       9.1460       6.0000      -0.0200       0.9760      -0.2190       1.1880      12.6330      84.7150
      28.0000       9.1340       6.0000      -0.0210       0.9780      -0.2070       1.2330      11.9440      84.1930
      27.5000       9.1230       6.0000      -0.0210       0.9780      -0.2070       1.2330      11.9440      84.1930
      27.0000       9.1130       6.0000      -0.0220       0.9760      -0.2160       1.2920      12.4550      84.1690
      26.5000       9.1020       6.0000      -0.0230       0.9730      -0.2290       1.3700      13.2460      84.1980
      26.0000       9.0880       6.0000      -0.0280       0.9560      -0.2930       1.6500      17.0300      84.6270
      25.5000       9.0710       6.0000      -0.0380       0.9580      -0.2840       2.2500      16.5300      82.4580
      25.0000       9.0520       6.0000      -0.0380       0.9580      -0.2840       2.2500      16.5300      82.4580
      24.5000       9.0420       6.0000      -0.0090       0.9570      -0.2920       0.5200      16.9490      88.2940
      24.0000       9.0270       6.0000      -0.0320       0.9430      -0.3310       1.9610      19.3320      84.4250
      23.5000       9.0080       6.0000      -0.0290       0.9400      -0.3400       1.7520      19.8760      85.1630
      23.0000       8.9900       6.0000      -0.0390       0.9490      -0.3130       2.3780      18.2420      82.8190
      22.5000       8.9680       6.0000      -0.0530       0.9420      -0.3300       3.1950      19.3070      80.9460
      22.0000       8.9500       6.0000      -0.0370       0.9430      -0.3310       2.2410      19.3330      83.6350
