   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     5.00      1.00    400.00      14.0     412.7     188.7     615.4
     5.00      1.10    400.00      15.7     454.0     207.6     677.3
     5.00      0.20    500.00       2.3      82.5      37.7     122.6
     5.00      0.30    500.00       3.9     123.8      56.6     184.3
     5.00      0.40    500.00       5.6     165.1      75.5     246.1
     5.00      0.50    500.00       7.3     206.3      94.4     308.1
     5.00      0.60    500.00       9.2     247.6     113.2     370.1
     5.00      0.70    500.00      11.2     288.9     132.1     432.2
     5.00      0.80    500.00      13.2     330.1     151.0     494.3
     5.00      0.90    500.00      15.3     371.4     169.9     556.6
     5.00      1.00    500.00      17.5     412.7     188.7     618.9
     5.00      1.10    500.00      19.7     454.0     207.6     681.2
     5.00      0.20    600.00       2.8      82.5      37.7     123.1
     5.00      0.30    600.00       4.7     123.8      56.6     185.1
     5.00      0.40    600.00       6.7     165.1      75.5     247.2
     5.00      0.50    600.00       8.8     206.3      94.4     309.5
     5.00      0.60    600.00      11.1     247.6     113.2     371.9
     5.00      0.70    600.00      13.4     288.9     132.1     434.4
     5.00      0.80    600.00      15.9     330.1     151.0     497.0
     5.00      0.90    600.00      18.4     371.4     169.9     559.6
     5.00      1.00    600.00      21.0     412.7     188.7     622.4
     5.00      1.10    600.00      23.6     454.0     207.6     685.2
     5.00      0.20    700.00       3.3      82.5      37.7     123.6
     5.00      0.30    700.00       5.4     123.8      56.6     185.9
     5.00      0.40    700.00       7.8     165.1      75.5     248.3
     5.00      0.50    700.00      10.3     206.3      94.4     311.0
     5.00      0.60    700.00      12.9     247.6     113.2     373.8
     5.00      0.70    700.00      15.7     288.9     132.1     436.6
     5.00      0.80    700.00      18.5     330.1     151.0     499.6
     5.00      0.90    700.00      21.4     371.4     169.9     562.7
     5.00      1.00    700.00      24.4     412.7     188.7     625.9
     5.00      1.10    700.00      27.5     454.0     207.6     689.1
     5.00      0.20    800.00       3.7      82.5      37.7     124.0
     5.00      0.30    800.00       6.2     123.8      56.6     186.6
     5.00      0.40    800.00       8.9     165.1      75.5     249.5
     5.00      0.50    800.00      11.7     206.3      94.4     312.5
     5.00      0.60    800.00      14.8     247.6     113.2     375.6
     5.00      0.70    800.00      17.9     288.9     132.1     438.9
     5.00      0.80    800.00      21.1     330.1     151.0     502.3
     5.00      0.90    800.00      24.5     371.4     169.9     565.8
     5.00      1.00    800.00      27.9     412.7     188.7     629.4
     5.00      1.10    800.00      31.5     454.0     207.6     693.0
