     SPEED            =  2.000  Knots 
     BREADTH          =   50.000
     FRICTIONAL COEFF.=    0.500E-01
THE NUMBER OF FRAMES =  497
     X_COOR(I)        Y(I)    Z_COOR(I)    X_NORM(I)    Y_NORM(I)    Z_NORM(I)     ALPHA(I)      BETA(I)     GAMMA(I)
     216.5000      18.6150      22.0000       0.3600       0.8090      -0.4640      23.9950      29.8530      52.2030
     216.0000      18.8360      22.0000       0.3570       0.8120      -0.4610      23.7210      29.5670      52.2420
     215.5000      19.0540      22.0000       0.3540       0.8160      -0.4570      23.4340      29.2660      52.2790
     215.0000      19.2690      22.0000       0.3500       0.8200      -0.4530      23.1350      28.9490      52.3160
     214.5000      19.4810      22.0000       0.3470       0.8230      -0.4490      22.8280      28.6150      52.3470
     214.0000      19.6900      22.0000       0.3430       0.8270      -0.4450      22.5120      28.2640      52.3710
     213.5000      19.8960      22.0000       0.3390       0.8310      -0.4400      22.1850      27.8950      52.3910
     213.0000      20.0980      22.0000       0.3350       0.8360      -0.4350      21.8470      27.5080      52.4080
     212.5000      20.2970      22.0000       0.3310       0.8400      -0.4300      21.4970      27.1040      52.4210
     212.0000      20.4920      22.0000       0.3270       0.8450      -0.4240      21.1380      26.6830      52.4300
     211.5000      20.6830      22.0000       0.3220       0.8490      -0.4190      20.7680      26.2440      52.4330
     211.0000      20.8710      22.0000       0.3170       0.8540      -0.4130      20.3880      25.7880      52.4320
     210.5000      21.0550      22.0000       0.3120       0.8590      -0.4060      19.9940      25.3150      52.4320
     210.0000      21.2350      22.0000       0.3070       0.8640      -0.4000      19.5870      24.8270      52.4350
     209.5000      21.4110      22.0000       0.3020       0.8690      -0.3930      19.1670      24.3240      52.4410
     209.0000      21.5820      22.0000       0.2960       0.8740      -0.3860      18.7340      23.8070      52.4510
     208.5000      21.7500      22.0000       0.2910       0.8790      -0.3780      18.2890      23.2760      52.4650
     208.0000      21.9130      22.0000       0.2840       0.8840      -0.3700      17.8330      22.7330      52.4830
     207.5000      22.0710      22.0000       0.2780       0.8890      -0.3630      17.3660      22.1770      52.5040
     207.0000      22.2260      22.0000       0.2710       0.8950      -0.3540      16.8710      21.5720      52.5090
     206.5000      22.3750      22.0000       0.2650       0.9000      -0.3450      16.3880      20.9890      52.5260
     206.0000      22.5200      22.0000       0.2580       0.9060      -0.3370      15.9000      20.3930      52.5400
     205.5000      22.6600      22.0000       0.2510       0.9110      -0.3280      15.4050      19.7860      52.5510
     205.0000      22.7950      22.0000       0.2440       0.9160      -0.3180      14.9050      19.1700      52.5610
     204.5000      22.9260      22.0000       0.2370       0.9210      -0.3090      14.3990      18.5450      52.5720
     204.0000      23.0520      22.0000       0.2290       0.9260      -0.2990      13.8880      17.9120      52.5860
     203.5000      23.1730      22.0000       0.2210       0.9310      -0.2900      13.3710      17.2740      52.6050
     203.0000      23.2900      22.0000       0.2140       0.9360      -0.2800      12.8500      16.6300      52.6310
     202.5000      23.4010      22.0000       0.2060       0.9410      -0.2690      12.3240      15.9830      52.6660
     202.0000      23.5080      22.0000       0.1970       0.9450      -0.2590      11.7930      15.3330      52.7130
     201.5000      23.6100      22.0000       0.1890       0.9500      -0.2490      11.2450      14.6820      52.8080
     201.0000      23.7070      22.0000       0.1800       0.9540      -0.2380      10.7070      14.0320      52.8920
     200.5000      23.7990      22.0000       0.1720       0.9580      -0.2280      10.1810      13.3870      52.9620
     200.0000      23.8870      22.0000       0.1640       0.9620      -0.2180       9.6690      12.7480      53.0190
     199.5000      23.9700      22.0000       0.1560       0.9660      -0.2070       9.1690      12.1180      53.0670
     199.0000      24.0480      22.0000       0.1480       0.9690      -0.1970       8.6810      11.4990      53.1120
     198.5000      24.1220      22.0000       0.1400       0.9720      -0.1870       8.2040      10.8930      53.1580
     198.0000      24.1920      22.0000       0.1330       0.9750      -0.1770       7.7400      10.3020      53.2130
     197.5000      24.2580      22.0000       0.1250       0.9780      -0.1680       7.2870       9.7290      53.2830
     197.0000      24.3200      22.0000       0.1180       0.9800      -0.1580       6.8450       9.1750      53.3790
     196.5000      24.3780      22.0000       0.1100       0.9830      -0.1490       6.4150       8.6440      53.5120
     196.0000      24.4330      22.0000       0.1030       0.9850      -0.1410       5.9970       8.1360      53.6900
     195.5000      24.4840      22.0000       0.0970       0.9860      -0.1330       5.5970       7.6510      53.8910
     195.0000      24.5310      22.0000       0.0900       0.9880      -0.1250       5.2140       7.1880      54.1100
     194.5000      24.5750      22.0000       0.0840       0.9900      -0.1170       4.8500       6.7440      54.3410
     194.0000      24.6160      22.0000       0.0780       0.9910      -0.1100       4.5030       6.3180      54.5760
     193.5000      24.6540      22.0000       0.0720       0.9920      -0.1030       4.1740       5.9080      54.8060
